blueTeamTotalGold,redTeamTotalGold,blueWin
25676,28884,0
23980,29592,0
22138,28686,0
32757,29109,1
28820,27338,1
27393,25928,0
26549,28886,0
29370,25135,1
26010,31512,0
27623,24601,0
29357,26420,1
31404,28937,1
20781,32806,0
31902,28880,1
34008,19681,1
24594,31265,0
26681,27989,0
22798,32062,0
33848,28283,0
30271,25410,1
28969,25874,1
29603,24451,1
25388,28424,1
31100,26391,1
26105,29770,1
23432,28805,0
30208,28079,1
24261,34012,0
29258,24487,1
31190,30229,1
28634,30964,1
28608,23026,1
29491,27061,0
24739,31100,0
27461,24720,1
26652,26441,1
28649,27097,0
27457,32310,0
27493,26120,0
27531,22474,1
29984,22884,1
29738,24296,0
23853,27182,0
32154,28636,0
27841,30496,0
27576,25677,1
24501,30012,0
27781,23779,1
26649,30886,0
25501,32409,0
25045,27680,1
26154,32624,0
29424,27631,0
33687,29673,1
27627,27427,1
26433,30576,0
25097,26487,0
30561,26051,0
27512,24235,1
30228,25842,1
25489,28126,0
26904,30512,1
25834,26890,0
26359,27188,0
30676,30138,0
28498,24400,1
28244,27699,1
29983,29030,1
28795,28337,0
29142,27535,0
29200,27007,1
30782,23671,1
26742,25489,1
31618,25238,1
25799,28546,1
25802,27238,0
28239,23484,0
27763,24092,1
26084,28348,0
28591,28621,0
27499,30253,1
32294,30198,0
32506,26028,1
27198,29031,0
25051,30024,0
28946,23452,1
29431,29895,0
26563,31028,0
29325,28810,0
27602,26827,0
32777,30289,0
28887,33946,0
25726,29599,0
27236,30016,0
25595,25705,1
39976,24246,1
25220,26683,1
29686,26877,1
25893,24586,0
31660,25743,1
27469,24860,1
29988,27591,0
28470,28081,0
26993,26511,1
29112,26664,0
24353,29855,0
29270,25893,1
26212,26712,0
25980,25639,1
27529,27770,0
30989,29253,1
30728,28930,0
27779,30481,0
24021,30147,0
26869,29930,0
31421,25322,1
25671,30772,0
30078,26960,1
27364,29112,0
29298,31453,0
29031,28183,0
27492,31986,0
28622,27108,0
28772,27942,1
30437,27630,1
31674,27141,1
28066,25530,1
31112,28324,1
23934,26045,0
24163,26806,1
32414,25993,1
29513,22179,1
31730,24981,1
29320,23629,1
25956,28967,0
25049,34801,0
25661,27448,0
27219,25187,0
28294,28178,1
29998,26375,1
25890,31250,0
26761,28744,0
22011,28288,0
29150,26776,1
27867,27473,0
25356,28399,0
26744,28161,1
24157,28441,0
27079,26109,1
22856,26714,0
26448,24671,1
29130,26333,1
31133,28635,0
23749,29013,0
24259,25950,1
26675,26323,0
29539,27714,1
27440,27169,0
26538,29069,0
26471,30407,0
24911,32213,0
25915,25627,0
29329,23760,1
24669,27207,0
29941,27989,1
29553,30452,1
28457,27260,0
25598,31303,0
26413,26593,0
28478,26424,0
29103,28748,1
26925,25999,1
25831,29692,0
25499,33632,0
25387,32362,0
24516,27428,1
25422,25447,1
26987,23032,1
28703,26107,0
32191,25865,1
32735,30005,0
31580,29158,1
27855,27986,0
22763,24647,1
24028,31159,0
28028,25997,1
26101,31298,0
26102,29340,0
25514,26895,1
33101,25427,1
29849,28896,0
26693,28177,1
30825,32077,0
23498,26601,0
30899,25265,1
24027,34479,0
29192,38727,0
34013,31176,1
27025,32560,0
23472,31261,0
23400,27699,0
27325,24117,1
25920,33455,0
26272,27960,0
25018,29256,0
27691,30237,0
26586,27642,0
28091,28595,0
31871,24825,1
32012,25008,1
24302,27898,0
28238,26408,1
29008,28313,0
27648,34187,0
24556,24989,1
29097,28479,0
31381,26673,1
29269,25424,1
28456,29015,0
28917,29524,0
27172,24968,0
30784,25076,1
26817,30154,0
30372,26670,0
35514,26598,1
25625,32536,0
26352,29794,0
26408,32177,0
23817,27648,0
31227,26056,1
24518,33369,1
29312,29456,1
26338,28450,0
26995,26493,0
30836,29286,1
25664,25542,1
27589,24273,1
28880,28994,0
26643,32358,0
28394,28459,0
30059,25862,1
24768,27716,0
23559,26092,0
25096,24112,1
26229,29118,0
28004,33138,0
31037,26781,1
27916,29863,0
24983,26354,1
26464,29037,1
23957,29726,0
32944,26612,0
26151,29819,0
23534,32748,0
28928,25886,0
26718,26540,1
26671,32025,0
29514,26270,1
25623,28002,0
29322,27659,0
25759,28377,1
28046,26300,0
30305,30366,1
29053,24168,0
26825,28912,0
27087,31733,0
27551,29609,1
30262,28720,0
27912,25967,0
32057,31491,0
26672,26933,0
31233,27529,1
24802,27661,0
28317,32289,0
25128,29475,0
32032,22479,1
29594,31461,0
24842,33632,0
28524,36281,0
25506,30542,0
26308,25687,0
26714,25639,0
32625,31291,1
26969,29828,0
29128,28031,1
25409,26794,0
23379,29591,0
27861,32546,0
25238,29464,0
26999,28812,0
26609,26151,0
27519,32284,1
30617,24997,1
24449,28244,0
24398,27587,0
29922,22879,1
25734,27885,0
27269,30305,0
27147,25298,1
30791,24228,1
28645,26591,1
27047,30907,0
27634,28383,0
30135,22109,1
25291,27775,0
35448,26629,1
30408,26974,1
29722,28469,0
22512,27039,0
30340,27902,0
33229,26471,1
32700,26704,1
26104,28100,0
32468,21619,1
25960,29771,0
33362,28211,1
28389,27327,1
31070,27088,0
29197,26789,1
35260,25649,1
26478,32240,0
31567,26845,1
31465,28467,1
26967,34770,0
28621,26703,1
28161,29389,1
32052,27781,0
25642,28729,0
27848,27565,0
26880,29473,0
33097,28190,1
28721,31371,0
26265,31693,0
25787,32892,1
24134,31325,0
27015,27984,0
30905,23021,1
29643,29123,0
29395,30127,0
28735,30724,0
31728,29275,1
21289,30230,0
30527,24752,1
26056,28536,0
28862,25456,0
25684,27051,1
31200,28961,1
25995,26381,0
27082,25404,1
27000,31654,0
27398,28900,0
28175,29007,1
31915,22869,1
29400,25108,1
24162,27629,0
27388,24425,1
30298,29794,0
24361,32177,0
30080,24486,1
26995,30316,0
24154,32755,0
29824,25312,1
28615,28270,1
28591,27081,0
27440,31265,0
26456,29902,0
32207,21978,1
30007,27358,0
30275,30476,1
31186,23136,1
31043,26221,1
26501,23638,1
30860,26060,1
24786,29092,0
26586,26622,0
26250,25865,0
29148,24333,1
31860,25663,1
27255,28517,1
25891,31381,1
25535,26133,0
28097,28368,0
28550,29670,1
25463,28696,0
28730,28974,1
26508,30169,0
28487,31185,0
31381,26335,0
28762,29199,0
30657,24870,1
31116,30530,1
28690,33758,0
29333,25023,1
24729,27071,0
28293,27644,1
27889,25287,1
27533,27809,0
31042,25762,1
26279,28555,0
27129,26973,0
29473,31590,0
29891,32065,0
27965,31062,0
27938,26247,1
29684,30976,0
27721,25147,1
33201,23533,1
30038,27185,1
26870,31534,0
25276,32795,0
27347,29080,1
33373,28157,1
28578,26147,0
25617,32759,0
29808,27866,1
28962,30999,0
22877,30469,0
36285,25217,1
29158,27997,0
22990,27517,0
24669,35015,0
23462,29433,1
28358,29524,0
26629,24641,1
25335,27676,0
28980,26404,1
26346,32178,0
31686,23125,1
25288,31124,0
32548,25297,1
28906,30300,1
27867,30415,0
29666,26725,1
32508,26898,1
28784,27101,1
28131,25485,0
23696,24300,1
24767,26112,1
29316,22997,1
27101,28304,0
26021,29629,1
25255,25139,0
23995,35262,0
32915,28381,1
24795,27885,0
28669,25081,1
25257,28547,0
25869,26132,1
23324,29321,0
29399,25786,1
32329,25554,1
26907,28123,0
23047,30776,0
25747,29268,1
31893,22579,1
26507,27849,0
29341,27642,1
26958,28698,0
28079,23980,1
29290,26530,0
31880,25781,1
25576,28461,0
21513,31282,0
27276,31164,0
23802,28346,0
27728,26290,1
21964,33464,0
29437,26104,1
28648,28981,1
24650,31537,0
25886,29638,0
27753,26287,1
25498,29903,0
34235,25484,1
29264,25481,1
25250,25053,1
23707,31116,0
28557,28930,0
31552,27442,0
28209,27614,0
25285,28471,1
23648,27186,0
26867,27345,0
27834,29460,0
29703,26556,0
29926,25028,1
25124,31372,0
27206,26062,0
25807,31725,0
29180,32698,0
22775,30289,0
32129,28025,0
27819,29658,0
24354,30399,0
28401,30210,0
22586,28423,0
26065,27885,1
27333,28423,0
25966,30795,0
31905,28419,1
25593,30878,0
